1; фио_1; 1982; 0;
2; фио_2; 1993; 1;
3; фио_3; 1965; 1;
4; фио_4; 1965; 0;
5; фио_5; 1967; 0;
6; фио_6; 1969; 1;
7; фио_7; 1951; 1;
8; фио_8; 1965; 1;
9; фио_9; 1962; 1;
10; фио_10; 1994; 0;
11; фио_11; 1957; 0;
12; фио_12; 1979; 1;
13; фио_13; 1971; 1;
14; фио_14; 1976; 0;
15; фио_15; 1981; 0;
16; фио_16; 1974; 0;
17; фио_17; 1992; 1;
18; фио_18; 1963; 0;
19; фио_19; 1975; 1;
20; фио_20; 1977; 1;
21; фио_21; 1997; 1;
22; фио_22; 1990; 0;
23; фио_23; 1968; 0;
24; фио_24; 1989; 0;
25; фио_25; 1965; 1;
26; фио_26; 1958; 0;
27; фио_27; 1957; 1;
28; фио_28; 1970; 1;
29; фио_29; 1995; 0;
30; фио_30; 1972; 0;
31; фио_31; 1967; 0;
32; фио_32; 1961; 0;
33; фио_33; 1993; 0;
34; фио_34; 1957; 1;
35; фио_35; 1955; 0;
36; фио_36; 1987; 1;
37; фио_37; 1961; 0;
38; фио_38; 1998; 0;
39; фио_39; 1993; 1;
40; фио_40; 1957; 1;
41; фио_41; 1980; 0;
42; фио_42; 1966; 1;
43; фио_43; 1962; 1;
44; фио_44; 1996; 0;
45; фио_45; 1952; 1;
46; фио_46; 1956; 0;
47; фио_47; 1993; 0;
48; фио_48; 1956; 1;
49; фио_49; 1992; 1;
50; фио_50; 1966; 1;
51; фио_51; 1984; 0;
52; фио_52; 1967; 0;
53; фио_53; 1985; 1;
54; фио_54; 1970; 1;
55; фио_55; 1965; 0;
56; фио_56; 1953; 1;
57; фио_57; 1971; 1;
58; фио_58; 1966; 0;
59; фио_59; 1989; 0;
60; фио_60; 1978; 0;
61; фио_61; 1992; 1;
62; фио_62; 1991; 0;
63; фио_63; 1968; 1;
64; фио_64; 1973; 1;
65; фио_65; 1981; 0;
66; фио_66; 1957; 1;
67; фио_67; 1981; 0;
68; фио_68; 1979; 0;
69; фио_69; 1950; 0;
70; фио_70; 1968; 0;
71; фио_71; 1981; 0;
72; фио_72; 1993; 0;
73; фио_73; 1995; 0;
74; фио_74; 1973; 0;
75; фио_75; 1982; 1;
76; фио_76; 1978; 0;
77; фио_77; 1989; 0;
78; фио_78; 1960; 0;
79; фио_79; 1983; 1;
80; фио_80; 1980; 0;
81; фио_81; 1988; 1;
82; фио_82; 1989; 1;
83; фио_83; 1999; 1;
84; фио_84; 1980; 0;
85; фио_85; 1957; 1;
86; фио_86; 1982; 1;
87; фио_87; 1977; 1;
88; фио_88; 1974; 0;
89; фио_89; 1975; 0;
90; фио_90; 1950; 1;
91; фио_91; 1959; 0;
92; фио_92; 1985; 0;
93; фио_93; 1997; 0;
94; фио_94; 1966; 0;
95; фио_95; 1975; 0;
96; фио_96; 1995; 0;
97; фио_97; 1957; 1;
98; фио_98; 1984; 0;
99; фио_99; 1996; 1;
100; фио_100; 1958; 0;
